Anemone,Day,STRAIN,BS,BD,BT,BQ,Bsumtotal,TS,TD,TT,TQ,TSsum,TDsum,TTsum,TQsum,T TOTAL,Tentacle number counted,TS average,TD average,TT average,TQ average,Tentacle average
11,1,H2,1,1,0,0,3,5,0,0,0,5,0,0,0,5,7,0.714285714,0,0,0,0.714285714
12,1,H2,0,0,0,0,0,5,1,0,0,5,2,0,0,7,8,0.625,0.25,0,0,0.875
13,1,H2,2,0,0,0,2,3,0,0,0,3,0,0,0,3,4,0.75,0,0,0,0.75
14,1,H2,2,0,0,0,2,1,0,0,0,1,0,0,0,1,4,0.25,0,0,0,0.25
15,1,H2,9,0,0,0,9,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0
16,1,H2,15,2,0,0,19,2,0,0,0,2,0,0,0,2,3,0.666666667,0,0,0,0.666666667
17,1,H2,4,2,0,0,8,3,0,0,0,3,0,0,0,3,4,0.75,0,0,0,0.75
18,1,H2,0,0,0,0,0,86,4,0,0,86,8,0,0,94,6,14.33333333,1.333333333,0,0,15.66666667
19,1,H2,4,0,0,0,4,42,1,0,0,42,2,0,0,44,6,7,0.333333333,0,0,7.333333333
20,1,H2,1,0,0,0,1,1,0,0,0,1,0,0,0,1,4,0.25,0,0,0,0.25
11,7,H2,3,0,0,0,3,6,8,1,1,6,16,3,4,29,8,0.75,2,0.375,0.5,3.625
12,7,H2,2,0,0,0,2,7,3,1,0,7,6,3,0,16,8,0.875,0.75,0.375,0,2
13,7,H2,2,0,0,0,2,1,0,0,0,1,0,0,0,1,6,0.166666667,0,0,0,0.166666667
14,7,H2,3,0,0,0,3,1,0,0,0,1,0,0,0,1,3,0.333333333,0,0,0,0.333333333
15,7,H2,3,0,0,0,3,7,4,1,1,7,8,3,4,22,4,1.75,2,0.75,1,5.5
16,7,H2,12,1,0,0,14,8,2,0,0,8,4,0,0,12,8,1,0.5,0,0,1.5
17,7,H2,1,1,0,1,7,3,0,0,0,3,0,0,0,3,2,1.5,0,0,0,1.5
18,7,H2,3,4,0,0,11,68,21,4,0,68,42,12,0,122,8,8.5,5.25,1.5,0,15.25
19,7,H2,1,0,0,0,1,53,14,3,1,53,28,9,4,94,7,7.571428571,4,1.285714286,0.571428571,13.42857143
20,7,H2,0,0,0,0,0,11,3,1,0,11,6,3,0,20,6,1.833333333,1,0.5,0,3.333333333
11,3,H2,1,1,0,0,3,14,3,0,0,14,6,0,0,20,6,2.333333333,1,0,0,3.333333333
12,3,H2,1,0,0,0,1,5,1,0,0,5,2,0,0,7,8,0.625,0.25,0,0,0.875
13,3,H2,0,0,0,0,0,7,1,0,0,7,2,0,0,9,6,1.166666667,0.333333333,0,0,1.5
14,3,H2,1,0,0,0,1,1,0,0,0,1,0,0,0,1,6,0.166666667,0,0,0,0.166666667
15,3,H2,0,0,0,0,0,16,1,0,0,16,2,0,0,18,8,2,0.25,0,0,2.25
16,3,H2,2,0,0,0,2,4,0,0,0,4,0,0,0,4,5,0.8,0,0,0,0.8
17,3,H2,1,0,0,0,1,3,0,0,0,3,0,0,0,3,9,0.333333333,0,0,0,0.333333333
18,3,H2,5,0,0,0,5,46,2,0,0,46,4,0,0,50,9,5.111111111,0.444444444,0,0,5.555555556
19,3,H2,0,0,0,0,0,49,1,1,0,49,2,3,0,54,9,5.444444444,0.222222222,0.333333333,0,6
20,3,H2,1,0,0,0,1,5,0,0,0,5,0,0,0,5,5,1,0,0,0,1
11,5,H2,0,0,0,0,0,9,3,0,0,9,6,0,0,15,5,1.8,1.2,0,0,3
12,5,H2,1,0,0,0,1,1,2,0,0,1,4,0,0,5,6,0.166666667,0.666666667,0,0,0.833333333
13,5,H2,1,0,0,0,1,6,0,0,0,6,0,0,0,6,6,1,0,0,0,1
14,5,H2,0,0,0,0,0,3,0,0,0,3,0,0,0,3,4,0.75,0,0,0,0.75
15,5,H2,3,0,0,0,3,5,3,0,0,5,6,0,0,11,4,1.25,1.5,0,0,2.75
16,5,H2,4,0,0,0,4,2,2,0,0,2,4,0,0,6,4,0.5,1,0,0,1.5
17,5,H2,0,1,0,0,2,1,0,0,0,1,0,0,0,1,1,1,0,0,0,1
18,5,H2,1,0,0,0,1,105,10,0,0,105,20,0,0,125,8,13.125,2.5,0,0,15.625
19,5,H2,5,2,0,0,9,43,6,1,0,43,12,3,0,58,9,4.777777778,1.333333333,0.333333333,0,6.444444444
20,5,H2,0,0,0,0,0,1,1,0,0,1,2,0,0,3,3,0.333333333,0.666666667,0,0,1
11,2,H2,5,0,0,0,5,3,1,0,0,3,2,0,0,5,5,0.6,0.4,0,0,1
12,2,H2,1,0,0,0,1,3,0,0,0,3,0,0,0,3,5,0.6,0,0,0,0.6
13,2,H2,2,0,0,0,2,1,0,0,0,1,0,0,0,1,3,0.333333333,0,0,0,0.333333333
14,2,H2,1,0,0,0,1,2,0,0,0,2,0,0,0,2,6,0.333333333,0,0,0,0.333333333
15,2,H2,1,0,0,0,1,10,1,0,0,10,2,0,0,12,4,2.5,0.5,0,0,3
16,2,H2,1,0,0,0,1,3,0,0,0,3,0,0,0,3,2,1.5,0,0,0,1.5
17,2,H2,1,0,0,0,1,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0
18,2,H2,7,1,0,0,9,48,4,1,0,48,8,3,0,59,4,12,2,0.75,0,14.75
19,2,H2,0,0,0,0,0,47,9,0,0,47,18,0,0,65,9,5.222222222,2,0,0,7.222222222
20,2,H2,1,0,0,0,1,1,0,0,0,1,0,0,0,1,2,0.5,0,0,0,0.5
11,4,H2,2,0,0,0,2,15,1,0,0,15,2,0,0,17,6,2.5,0.333333333,0,0,2.833333333
12,4,H2,3,0,0,0,3,5,1,0,0,5,2,0,0,7,8,0.625,0.25,0,0,0.875
13,4,H2,1,0,0,0,1,4,3,0,0,4,6,0,0,10,9,0.444444444,0.666666667,0,0,1.111111111
14,4,H2,0,0,0,0,0,5,0,0,0,5,0,0,0,5,8,0.625,0,0,0,0.625
15,4,H2,7,0,0,0,7,5,1,0,0,5,2,0,0,7,4,1.25,0.5,0,0,1.75
16,4,H2,0,0,0,0,0,10,4,0,0,10,8,0,0,18,9,1.111111111,0.888888889,0,0,2
17,4,H2,1,0,0,0,1,5,0,0,0,5,0,0,0,5,3,1.666666667,0,0,0,1.666666667
18,4,H2,4,0,0,0,4,28,3,1,0,28,6,3,0,37,4,7,1.5,0.75,0,9.25
19,4,H2,2,0,0,0,2,47,17,0,0,47,34,0,0,81,9,5.222222222,3.777777778,0,0,9
20,4,H2,4,1,0,0,6,6,0,0,0,6,0,0,0,6,4,1.5,0,0,0,1.5
11,6,H2,2,0,0,0,2,10,0,0,0,10,0,0,0,10,4,2.5,0,0,0,2.5
12,6,H2,1,0,0,0,1,4,2,0,0,4,4,0,0,8,4,1,1,0,0,2
13,6,H2,0,0,0,0,0,5,0,0,0,5,0,0,0,5,6,0.833333333,0,0,0,0.833333333
14,6,H2,4,0,0,0,4,1,0,0,0,1,0,0,0,1,1,1,0,0,0,1
15,6,H2,1,0,0,0,1,1,2,0,0,1,4,0,0,5,3,0.333333333,1.333333333,0,0,1.666666667
16,6,H2,1,0,0,0,1,15,0,0,1,15,0,0,4,19,9,1.666666667,0,0,0.444444444,2.111111111
17,6,H2,0,0,0,0,0,4,2,0,0,4,4,0,0,8,9,0.444444444,0.444444444,0,0,0.888888889
18,6,H2,10,0,1,0,13,12,0,0,0,12,0,0,0,12,3,4,0,0,0,4
19,6,H2,0,0,0,0,0,46,9,1,0,46,18,3,0,67,5,9.2,3.6,0.6,0,13.4
20,6,H2,2,0,0,0,2,7,3,0,0,7,6,0,0,13,6,1.166666667,1,0,0,2.166666667